,open,high,low,close,adj close,volume
2021-02-15,19.117,24.978,14.816,22.489,22.489,11993255.0
2021-02-16,22.511,26.55,22.2,25.067,25.067,11617759.0
2021-02-17,25.096,25.85,22.479,23.83,23.83,7249730.0
2021-02-18,23.83,25.133,22.785,23.092,23.092,4452399.0
2021-02-19,23.087,23.55,21.502,22.898,22.898,3335648.0
2021-02-20,22.898,24.498,20.439,21.648,21.648,4723070.0
2021-02-21,21.632,22.656,20.699,21.569,21.569,4717961.0
2021-02-22,21.573,21.678,16.624,21.152,21.152,6198930.0
2021-02-23,21.11,23.4,15.1,20.08,20.08,11510910.0
2021-02-24,20.08,21.39,18.655,19.42,19.42,4706945.0
2021-02-25,19.441,20.667,17.55,17.686,17.686,4192660.0
2021-02-26,17.775,18.959,16.051,18.86,18.86,5283512.0
2021-02-27,18.852,20.973,18.616,19.121,19.121,4394853.0
2021-02-28,19.141,19.24,16.448,17.649,17.649,3437709.0
2021-03-01,17.632,18.856,17.497,18.701,18.701,2760782.0
2021-03-02,18.682,20.516,17.989,18.851,18.851,4702324.0
2021-03-03,18.837,22.0,18.499,21.431,21.431,5083660.0
2021-03-04,21.431,21.845,18.136,18.855,18.855,5225998.0
2021-03-05,18.855,19.5,17.725,18.671,18.671,3100659.0
2021-03-06,18.665,19.069,18.211,18.91,18.91,1581719.0
2021-03-07,18.91,19.495,18.58,19.458,19.458,1704303.0
2021-03-08,19.471,19.853,18.565,19.392,19.392,2126841.0
2021-03-09,19.38,21.2,19.016,21.107,21.107,3501908.0
2021-03-10,21.1,21.378,19.088,19.61,19.61,3124839.0
2021-03-11,19.61,19.747,18.6,19.333,19.333,1886132.0
2021-03-12,19.333,19.496,17.68,18.552,18.552,2278852.0
2021-03-13,18.549,19.861,17.828,19.363,19.363,2273913.0
2021-03-14,19.368,19.531,18.418,18.444,18.444,1618064.0
2021-03-15,18.443,21.1,17.901,19.838,19.838,4941682.0
2021-03-16,19.839,22.102,18.689,21.008,21.008,5013444.0
2021-03-17,21.014,21.674,19.55,20.896,20.896,3501413.0
2021-03-18,20.9,24.523,20.524,22.106,22.106,7231433.0
2021-03-19,22.108,23.185,21.5,22.19,22.19,3678794.0
2021-03-20,22.186,22.726,20.716,20.915,20.915,1897841.0
2021-03-21,20.911,21.258,19.924,20.52,20.52,1997519.0
2021-03-22,20.508,21.166,18.888,19.179,19.179,2450994.0
2021-03-23,19.198,19.863,18.679,18.724,18.724,1844435.0
2021-03-24,18.708,19.79,16.444,17.424,17.424,2856121.0
2021-03-25,17.423,18.019,16.629,17.1,17.1,2646905.0
2021-03-26,17.095,18.99,17.059,18.94,18.94,1948543.0
2021-03-27,18.929,19.211,18.014,18.704,18.704,1428525.0
2021-03-28,18.706,20.0,18.419,19.331,19.331,2040178.0
2021-03-29,19.329,20.989,19.06,20.273,20.273,2862825.0
2021-03-30,20.27,20.691,19.471,19.968,19.968,2133154.0
2021-03-31,19.968,20.088,18.168,19.081,19.081,2780289.0
2021-04-01,19.081,20.2,18.902,19.473,19.473,2557080.0
2021-04-02,19.482,20.422,19.134,20.315,20.315,2149364.0
2021-04-03,20.312,22.564,19.843,20.033,20.033,6902501.0
2021-04-04,20.034,21.933,19.535,21.525,21.525,3141300.0
2021-04-05,21.53,22.22,20.0,21.431,21.431,3326701.0
2021-04-06,21.45,23.211,21.038,21.656,21.656,4716570.0
2021-04-07,21.643,22.1,18.651,19.558,19.558,4977703.0
2021-04-08,19.566,20.639,19.472,20.543,20.543,2374446.0
2021-04-09,20.543,21.539,20.486,21.393,21.393,2358215.0
2021-04-10,21.396,22.666,20.551,21.025,21.025,3770878.0
2021-04-11,21.006,23.5,20.734,23.365,23.365,3149692.0
2021-04-12,23.372,23.785,21.222,22.012,22.012,4561710.0
2021-04-13,22.002,24.899,21.333,23.829,23.829,5066787.0
2021-04-14,23.822,27.138,22.777,27.068,27.068,8374149.0
2021-04-15,27.078,28.53,25.939,27.786,27.786,6595956.0
2021-04-16,27.799,28.172,24.028,25.46,25.46,5006504.0
2021-04-17,25.46,27.505,24.282,24.342,24.342,3883290.0
2021-04-18,24.32,24.849,17.1,21.403,21.403,7560554.0
2021-04-19,21.388,22.248,18.841,19.199,19.199,4797811.0
2021-04-20,19.196,21.6,17.644,21.254,21.254,5530702.0
2021-04-21,21.251,21.5,19.347,19.551,19.551,3958949.0
2021-04-22,19.57,21.56,18.5,18.725,18.725,4796116.0
2021-04-23,18.725,20.55,16.56,20.515,20.515,6581721.0
2021-04-24,20.497,20.549,18.304,18.458,18.458,2545421.0
2021-04-25,18.462,19.8,17.601,18.687,18.687,2283076.0
2021-04-26,18.69,23.5,18.477,22.058,22.058,4310853.0
2021-04-27,22.079,23.438,21.244,23.038,23.038,3075761.0
2021-04-28,23.058,24.163,21.785,22.927,22.927,3548729.0
2021-04-29,22.929,23.021,21.129,22.222,22.222,2771407.0
2021-04-30,22.222,23.468,21.684,22.704,22.704,2758486.0
2021-05-01,22.7,24.488,22.432,23.801,23.801,3120143.0
2021-05-02,23.798,23.936,22.155,23.088,23.088,2276512.0
2021-05-03,23.086,23.787,22.414,22.938,22.938,2302562.0
